entry_mask,面具,Mask,マスク,Maske,Masque,Máscara,Маска,หน้ากาก,마스크,قناع,Maschera,máscara
entry_map_17_0,传送门,Portal,ポータル,Portal,Portail,Portal,Портал,ประตูโลก,포털,بوابة,Portale,Portais
entry_map_17_1,系统文字,Message,システムメッセージ,Nachricht,Message système,Mensaje de sistema,Системное сообщение,ข้อความระบบ,시스템 메시지,رسالة النظام,Messaggio di sistema,Texto do sistema
entry_map_17_10,商店,Shop,ショップ,Geschäft,Magasin,Tienda,Магазин,ร้านค้า,상점,متجر,Negozio,loja
entry_map_17_11,旅馆,Inn,宿屋,Gasthaus,Auberge,Posada,Гостиница,โรงแรม,여관,فندق,Locanda,hotel
entry_map_17_12,任务中心,Quest Center,クエストセンター,Quest-Zentrum,Centre de quêtes,Centro de misiones,Центр заданий,ศูนย์เควส,퀘스트 센터,مركز المهام,Centro delle missioni,Centro de Missão
entry_map_17_13,音效,Sound Effect,効果音,Soundeffekt,Effet sonore,Efecto de sonido,Звуковой эффект,เอฟเฟกต์เสียง,사운드 효과,تأثير صوتي,Effetto sonoro,efeito sonoro
entry_map_17_14,音乐,Music,音楽,Musik,Musique,Música,Музыка,ดนตรี,음악,موسيقى,Musica,Música
entry_map_17_15,滤镜,Filter,フィルター,Filter,Filtre,Filtro,Фильтр,ฟิลเตอร์,필터,مرشح,Filtro,Filtrar
entry_map_17_16,天气,Weather,天気,Wetter,Météo,Clima,Погода,สภาพอากาศ,날씨,الطقس,Meteo,Meteorologia
entry_map_17_2,存档点,Save Point,セーブポイント,Speicherpunkt,Point de Sauvegarde,Punto de Guardado,Точка сохранения,จุดบันทึก,저장 지점,نقطة الحفظ,Punto di Salvataggio,Ponto de arquivo
entry_map_17_3,复活点,Revive Point,リスポーンポイント,Wiederbelebungspunkt,Point de Réanimation,Punto de Revivir,Точка возрождения,จุดฟื้นคืนชีพ,부활 지점,نقطة الإحياء,Punto di Resurrezione,Ponto de ressurreição
entry_map_17_4,事件,Event,イベント,Ereignis,Événement,Evento,Событие,อีเวนต์,이벤트,حدث,Evento,evento
entry_map_17_5,镜头效果,Camera Effect,カメラエフェクト,Kameraeffekt,Effet de Caméra,Efecto de Cámara,Эффект камеры,เอฟเฟ็กต์กล้อง,카메라 효과,تأثير الكاميرا,Effetto Fotocamera,Efeitos de lente
entry_map_17_6,对话,Dialogue,ダイアローグ,Dialog,Dialogue,Diálogo,Диалог,บทสนทนา,대화,حوار,Dialogo,diálogo
entry_map_17_7,通道,Passage,通路,Durchgang,Passage,Pasaje,Проход,ทางเดิน,통로,ممر,Passaggio,Passagem
entry_map_17_8,光源,Light,光,Licht,Lumière,Luz,Свет,แสง,빛,ضوء,Luce,fonte de luz
entry_map_17_9,道具,Item,道具,Gegenstand,Objet,Objeto,Предмет,ไอเท็ม,아이템,عنصر,Oggetto,Adereço
entry_map_19_0,主要角色,Player,プレイヤー,Spieler,Joueur,Jugador,Игрок,ผู้เล่น,플레이어,لاعب,Giocatore,Personagens principais
entry_map_19_1,NPC,NPC,NPC,NPC,NPC,NPC,НПС,NPC,NPC,NPC,NPC,NPC,
entry_map_19_2,队友,Joinable Teammate,チームメイト,Beitrittsfähiger Teamkollege,Coéquipier rejoignable,Compañero de equipo reclutable,Присоединяемый товарищ по команде,ทีมเมต,조인 가능한 팀원,زميل فريق قابل للانضمام,Membro del team reclutabile,Membro da equipe recrutável.
entry_map_19_3,敌人,Enemy,敵,Feind,Ennemi,Enemigo,Враг,ศัตรู,적,عدو,Inimigo,inimigo
entry_map_19_4,头目,Boss,ボス,Boss,Boss,Jefe,Босс,หัวหน้า,보스,رئيس,Chefe,líder do ringue
entry_map_19_5,敌群(街机),Enemy Group,敵グループ,Gruppo nemici,Groupe ennemi,Grupo de enemigos,Группа врагов,กลุ่มศัตรู,적 그룹,مجموعة الأعداء,Grupo de Inimigos,Grupo Inimigo (Arcade)
entry_map_background,背景,Background,背景,Hintergrund,Arrière-plan,Fondo,Фон,พื้นหลัง,배경,خلفية,Plano de Fundo,Contexto geral
entry_map_backgroundline,背景水平线,Background Line,背景線,Hintergrundlinie,Ligne de fond,Línea de fondo,Линия фона,เส้นพื้นหลัง,배경 라인,خط الخلفية,Linha de Fundo,Linha horizontal de fundo
entry_map_coordinate_start,坐标起点(0.0),Koordinate Startpunkt(0.0),ポイントの開始地点(0.0),Koordinaten-Startpunkt (0.0),Point de départ des coordonnées (0.0),Punto de inicio de coordenadas (0,0),Точка начала координат(0.0),จุดเริ่มต้นของพิกัด(0.0),좌표 시작 지점(0.0),بداية الإحداثيات(0.0),Punto di inizio delle coordinate(0.0),Ponto de início de coordenadas(0.0)
entry_map_functional,功能,Function,機能,Funktion,Fonction,Función,Функция,ฟังก์ชัน,기능,وظيفة,Funzione,Função
entry_map_groundbottom,地面底线,Ground Bottom,地面底線,Bodenunterseite,Fond du sol,Fondo del suelo,Нижняя граница поверхности,ขอบล่างของพื้น,지면 하단,الأسفل الأرضي,Fondo del terreno,Base do solo
entry_map_groundline,地面水平线,Ground Line,地面水平線,Horizontale Bodenlinie,Ligne du sol,Línea del suelo,Горизонтальная линия земли,เส้นพื้น,지면 라인,خط الأرض,Linha do solo,Nível do solo
entry_map_object,互动物体,Interactive Object,互動物體,Interaktives Objekt,Objet interactif,Objeto interactivo,Интерактивный объект,ออบเจกต์แอนิเมชัน,대화식 오브젝트,كائن تفاعلي,Objeto Interativo,Objetos interativos
entry_map_roomedge,房间边界,Room Edge,房間邊界,Raumkante,Bord de la pièce,Borde de la habitación,Грани комнаты,ขอบห้อง,방 가장자리,حافة الغرفة,Borda do quarto,Limites da sala
entry_map_substance,场景物体,Object,場景物體,Szenenobjekt,Objet de scène,Objeto de escena,Объект сцены,วัตถุในฉาก,장면 객체,جسم المشهد,Objeto de cena,Objetos de cena
entry_mapbox_condition,出现/销毁条件:,Condition:,出現/銷毀條件:,Erscheinen/Verschwinden-Bedingung:,Condition d'apparition/destruction:,Condición de aparición/destrucción:,Условие появления/исчезновения:,เงื่อนไขการปรากฏ/สูญหาย:,나타남/소멸 조건:,شرط الظهور/الاختفاء:,Condizione di apparizione/scomparsa:,Condição de aparecimento/desaparecimento:
entry_mapbox_conditionb,剧情控制模式:,Condition:,剧情控制模式:,Story Control Mode:,Mode de contrôle de l'intrigue:,Modo de control de la historia:,Режим управления сюжетом:,โหมดควบคุมเรื่องราว:,스토리 컨트롤 모드:,وضع التحكم في القصة:,Modalità di controllo della trama:,Modo de controle de história:
entry_mapbox_mode,应用模式,Mode,應用模式,Anwendungsmodus,Mode d'application,Modo de aplicación,Режим применения,โหมดการใช้งาน,응용 프로그램 모드,وضع التطبيق,Modalità di applicazione,Modo de aplicação
entry_mapbox_name,出现/销毁,Appear/Disappear,出現/銷毀,Erscheinen/Verschwinden,Apparaitre/Disparaitre,Aparecer/Desaparecer,Появление/Исчезание,ปรากฏ/สูญหาย,나타남/소멸,ظهور/اختفاء,Apparire/Scomparire,Aparecer/Desaparecer
entry_mapbox_number,条目,Number,條目,Nummer,Numéro,Número,Номер,จำนวน,번호,عدد,Numero,Número
entry_mapbox_type,条件类型,Condition,條件類型,Bedingungstyp,Type de condition,Tipo de condición,Тип условия,ประเภทเงื่อนไข,조건 유형,نوع الشرط,Tipo di condizione,Tipo de condição
entry_message,文字,Message,文字,Nachricht,Message,Mensaje,Сообщение,ข้อความ,메시지,رسالة,Messaggio,Mensagem
entry_mouth,嘴巴,Mouth,口,Mund,Bouche,Boca,Рот,ปาก,입,فم,Bocca,Boca
entry_movedown,后移,Move Down,後移,Nach unten bewegen,Déplacer vers le bas,Mover hacia abajo,Переместить вниз,เคลื่อนลง,아래로 이동,تحريك للأسفل,Spostare verso il basso,Mover para baixo
entry_movement,位移,Movement,位移,Bewegung,Mouvement,Movimiento,Перемещение,การเคลื่อนไหว,움직임,حركة,Movimento,Movimento
entry_movement_hori_back,后退,Backward,后退,Rückwärts,En arrière,Hacia atrás,Назад,ถอยหลัง,뒤로,الخلف,Indietro,Para trás
entry_movement_hori_direction,动态横向位移方向,Horizontal Direction,動態橫向位移方向,Horizontale Richtung,Direction horizontale,Dirección horizontal,Горизонтальное направление,ทิศทางแนวนอน,수평 방향,الاتجاه الأفقي,Direzione orizzontale,Direção horizontal
entry_movement_hori_forward,前进,Forward,前進,Vorwärts,Avant,Adelante,Вперед,เดินหน้า,앞으로,الأمام,Avanti,Para a frente
entry_movement_hori_speed,动态横向位移速度(默认3),Horizontal Speed(Def:3),動態橫向位移速度(默认3),Horizontale Geschwindigkeit (Standard: 3),Vitesse horizontale (Def: 3),Velocidad horizontal (Def: 3),Горизонтальная скорость (По умолчанию: 3),ความเร็วแนวนอน (ค่าเริ่มต้น: 3),수평 속도(기본: 3),سرعة أفقية (ب:3),Velocità orizzontale (Def:3),Velocidade horizontal (Def:3)
entry_movement_inst_direction,瞬态位移方向(0-360),Instant Move Direction(0-360),瞬時移動方向(0-360),Richtung des instantanen Verschiebens (0-360),Direction de déplacement instantané (0-360),Dirección de movimiento instantáneo (0-360),Направление мгновенного перемещения (0-360),ทิศทางการเคลื่อนที่ทันที (0-360),즉각적인 이동 방향(0-360),اتجاه التحرك الفوري (0-360),Direzione di spostamento istantaneo (0-360),Direção de movimento instantâneo (0-360)
entry_movement_inst_distance,瞬态位移距离,Instant Move Distance,瞬時移動距離,Instantane Verschiebungsdistanz,Distance de déplacement instantané,Distancia de movimiento instantáneo,Мгновенное расстояние перемещения,ระยะทางการเคลื่อนที่ทันที,즉각적인 이동 거리,المسافة الفورية للتحرك,Distanza di spostamento istantaneo,Distância de movimento instantâneo
entry_movement_mask,自身判定设置,Self Mask Type,自身判定設定,Selbstmaskentyp,Type de masque personnel,Tipo de máscara personal,Тип маски самого себя,ประเภทการมาสก์ตนเอง,자체 마스크 유형,نوع قناع الذات,Impostazioni di autodeterminazione,Configurações de autodeterminação
entry_movement_notset,不设定,Not Set,不设定,Nicht festgelegt,Non défini,No configurado,Не установлено,ไม่ได้ตั้งค่า,설정되지 않음,غير محدد,Non impostato,Não configurado
entry_movement_occur,开始移动,Start Moving,开始移動,Bewegung starten,Démarrer le mouvement,Comenzar a moverse,Начать движение,เริ่มเคลื่อนไหว,이동 시작,بدء التحرك,Inizia a muoverti,Começar a mover-se
entry_movement_setting,移动设定,Movement Settings,移動設定,Bewegungseinstellungen,Paramètres de mouvement,Configuración de movimiento,Настройки движения,การตั้งค่าการเคลื่อนไหว,이동 설정,إعدادات الحركة,Impostazioni di movimento,Configurações de movimento
entry_movement_stay,无移动,Stay Put,動きなし,Bleiben,Rester en place,Quedarse quieto,Оставаться на месте,ยังคงอยู่,제자리에 있기,البقاء في المكان,Restare al proprio posto,Permanecer no lugar
entry_movement_stop,停止移动,Stop,動きを止,Anhalten,Arrêter,Detener,Остановить,หยุด,정지,توقف,Fermare,Parar
entry_movement_type,移动类型,Movement Type,移動タイプ,Bewegungstyp,Type de mouvement,Tipo de movimiento,Тип движения,ประเภทการเคลื่อนไหว,이동 유형,نوع الحركة,Tipo di movimento,Tipo de movimento
entry_movement_vert_direction,动态垂直位移方向,Vertical Direction,動態垂直位移方向,Vertikale Richtung,Direction verticale,Dirección vertical,Вертикальное направление,ทิศทางแนวดิ่ง,수직 방향,الاتجاه الرأسي,Direzione verticale,Direção vertical
entry_movement_vert_down,下落,Fall,下落,Fallen,Chute,Caída,Падение,ตก,떨어지기,سقوط,Cadere,Cair
entry_movement_vert_speed,动态垂直位移速度(默认11),Vertical Speed(Def:11),動態垂直位移速度(默认11),Vertikale Geschwindigkeit (Standard: 11),Vitesse verticale (Def: 11),Velocidad vertical (Def: 11),Вертикальная скорость (По умолчанию: 11),ความเร็วแนวดิ่ง (ค่าเริ่มต้น: 11),수직 속도(기본: 11),سرعة رأسية (ب:11),Velocità verticale (Def:11),Velocidade vertical (Def:11)
entry_movement_vert_up,起跳,Jump,起跳,Springen,Sauter,Saltar,Прыжок,กระโดด,점프,القفز,Saltare,Saltar
entry_moveup,前移,Move Up,前移,Nach vorne bewegen,Déplacer vers le haut,Mover hacia arriba,Переместить вперед,เคลื่อนตัวขึ้น,위로 이동,تحريك للأمام,Spostare in alto,Mover para cima
entry_music_default,默认音乐,Default Music,デフォルトの音楽,Standardmusik,Musique par défaut,Música predeterminada,Музыка по умолчанию,เสียงเพลงเริ่มต้น,기본 음악,الموسيقى الافتراضية,Musica predefinita,Música padrão
entry_music_gameover,游戏结束音乐,Gameover Music,ゲームオーバーの音楽,Spielende Musik,Musique de fin de jeu,Música de fin de juego,Музыка в конце игры,เสียงเพลงเมื่อเกมจบ,게임 종료 음악,موسيقى نهاية اللعبة,Musica di gioco,Música de fim de jogo
entry_music_random,随机音乐,Random Music,ランダムな音楽,Zufällige Musik,Musique aléatoire,Música aleatoria,Случайная музыка,เสียงเพลงแบบสุ่ม,랜덤 음악,موسيقى عشوائية,Musica casuale,Música aleatória
entry_music_title,主菜单音乐,Main Menu Music,メインメニューの音楽,Hauptmenü-Musik,Musique du menu principal,Música del menú principal,Музыка главного меню,เสียงเพลงเมนูหลัก,메인 메뉴 음악,موسيقى القائمة الرئيسية,Musica del menu principale,Música do menu principal
entry_name,名称,Name,名稱,Name,Nom,Nombre,Имя,ชื่อ,이름,الاسم,Nome,Nome
entry_next,下页,Next,下頁,Nächste,Suivant,Siguiente,Следующая,ถัดไป,다음,التالي,Successivo,Próximo
entry_no,否,NO,否,Nein,Non,No,Нет,ไม่,아니오,لا,No,Não
entry_noevent,无剧情,No Event,無劇情,Kein Ereignis,Aucun événement,Sin evento,Нет события,ไม่มีเหตุการณ์,이벤트 없음,لا يوجد حدث,Nessun evento,Sem evento
entry_none,无,None,無,Kein,Aucun,Ninguno,Нет,ไม่มี,없음,بلا,Nessuno,Nenhum
entry_nose,鼻子,Nose,鼻子,Nase,Nez,Nariz,Нос,จมูก,코,أنف,Naso,Nariz
entry_notset,(未设定),(Not Set),(未设定),(Nicht festgelegt),(Non défini),(No configurado),(Не установлено),(ไม่ได้ตั้งค่า),(설정되지 않음),(غير محدد),(Non impostato),(Não configurado)
entry_option,选项,Option,選項,Option,Option,Opción,Опция,ตัวเลือก,옵션,خيار,Opzione,Opção
entry_optional,可选,Optional,可選,Optional,Optionnel,Opcional,Дополнительно,ทางเลือก,선택 사항,اختياري,Opzionale,Opcional
entry_order,顺序,Order,順序,Reihenfolge,Ordre,Orden,Порядок,ลำดับ,순서,ترتيب,Ordine,Ordem
entry_paint_brush,笔刷,Brush,筆刷,Pinsel,Pinceau,Cepillo,Кисть,พู่กัน,붓,فرشاة,Pennello,Pincel
entry_paint_layer,图层,Layer,圖層,Ebene,Couche,Capa,Слой,เลเยอร์,레이어,الطبقة,Strato,Camada
entry_paint_thumbnail,缩略图,Thumbnail,縮略圖,Miniaturansicht,Vignette,Miniatura,Миниатюра,รูปขนาดย่อ,썸네일,صورة مصغرة,Miniatura,Miniatura
entry_paint_tool,工具,Tools,工具,Werkzeuge,Outils,Herramientas,Инструменты,เครื่องมือ,도구,أدوات,Strumenti,Ferramentas
entry_pant,裤子,Pants,褲子,Hose,Pantalon,Pantalones,Брюки,กางเกง,바지,سروال,Pantaloni,Calças
entry_part,部件编号,Part,部件編號,Teil,Partie,Parte,Часть,ส่วน,부분,جزء,Parte,Parte
entry_part_component,序列编号,Component Number,序列編號,Komponentennummer,Numéro de composant,Número de componente,Номер компонента,หมายเลขส่วนประกอบ,구성 요소 번호,رقم الجزء,Numero di componente,Número do componente
entry_part_costume,部件换装(U/I),Costume(U/I),部件換裝(U/I),Kostüm(U/I),Costume(U/I),Disfraz(U/I),Костюм(U/I),ชุด(U/I),의상(U/I),زي(U/I),Costume(U/I),Fantasia(U/I)
entry_part_name,部件名称,Part Name,部件名稱,Teilname,Nom de la pièce,Nombre de la parte,Наименование детали,ชื่อส่วน,부품 이름,اسم الجزء,Nome del pezzo,Nome da parte
entry_part_number,图像编号,Part Number,圖像編號,Teilenummer,Numéro de pièce,Número de pieza,Номер детали,หมายเลขชิ้นส่วน,부품 번호,رقم الجزء,Numero di parte,Número da peça
entry_passed,通过,Passed,通過,Bestanden,Réussi,Aprobado,Пройдено,ผ่าน,통과,تمت الموافقة,Superato,Aprovado
entry_path,路线,Path,路線,Pfad,Chemin,Ruta,Путь,เส้นทาง,경로,مسار,Percorso,Caminho
entry_path_stay,停留(秒),Stay(sec),停留(秒),Verweilen (Sek.),Rester (sec),Permanecer (seg.),Задержка (сек.),หยุดอยู่ (วิ),잠시 멈춤 (초),توقف (ثانية),Sosta (sec),Parar (seg)
entry_path_timer,耗时(秒),Time(sec),耗時(秒),Zeit (Sek.),Temps (sec),Tiempo (seg.),Время (сек.),เวลา (วิ),시간 (초),الوقت (ثانية),Tempo (sec),Tempo (seg)
entry_picture_block,格挡,Block,格擋,Block,Bloquer,Bloquear,Блокировать,บล็อก,차단,حظر,Blocco,Bloquear
entry_picture_effect,特效,Effect,特效,Effekt,Effet,Efecto,Эффект,เอฟเฟกต์,효과,تأثير,Effetto,Efeito
entry_picture_hit,击中,Hit,擊中,Treffer,Toucher,Golpear,Попадание,โดนโจมตี,맞히다,ضرب,Colpito,Atingido
entry_picture_mask,攻击,Attack,攻擊,Angriff,Attaque,Ataque,Атака,การโจมตี,공격,هجوم,Attacco,Ataque
entry_place_object,点击放置物体,Click to place object,クリックしてオブジェクトを配置します,Klicken um Objekt zu platzieren,Cliquez pour placer un objet,Haga clic para colocar objeto,Щелкните чтобы разместить объект,คลิกเพื่อวางวัตถุ,오브젝트를 놓으려면 클릭하세요,انقر لوضع الكائن,Fare clic per posizionare l'oggetto,Clique para colocar o objeto
entry_preset,预设装备栏,Preset Equipment Slot,デフォルトの装備欄,Voreinstellung Ausrüstungsschlitz,Emplacement d'équipement prédéfini,Ranura de equipo preestablecida,Предустановленное снаряжение,ช่องเครื่องมือที่กำหนดไว้ล่วงหน้า,프리셋 장비 슬롯,فتحة معدات محددة مسبقًا,Slot attrezzatura preimpostato,Slot de Equipamento Pré-definido
entry_preview_animation,角色动画预览,Animation Preview,角色動畫預覽,Animationsvorschau,Aperçu de l'animation,Vista previa de la animación,Просмотр анимации,ตัวอย่างแอนิเมชัน,애니메이션 미리보기,معاينة الرسوم المتحركة,Anteprima animazione,Pré-visualização de animação
entry_preview_character,立绘预览,Character Preview,立繪預覽,Charaktervorschau,Aperçu du personnage,Vista previa del personaje,Просмотр персонажа,ตัวอย่างตัวละคร,캐릭터 미리보기,معاينة الشخصية,Anteprima personaggio,Pré-visualização de personagem
entry_previous,上页,Previous,上頁,Vorherige,Précédent,Anterior,Предыдущая,ก่อนหน้า,이전,السابق,Precedente,Anterior
entry_proceeding,工作中请稍后,Proceeding,作業中お待ちください,In Bearbeitung,En cours,En proceso,В процессе,กำลังดำเนินการ,진행 중,في العمل، يرجى الانتظار,In corso,Em andamento
entry_project_updating,项目更新中请稍后,Project Updating,プロジェクトが更新されるまでお待ちください,Projektaktualisierung,Mise à jour du projet,Actualización del proyecto,Обновление проекта,อัปเดตโปรเจ็กต์,프로젝트 업데이트 중,تحديث المشروع,Aggiornamento del progetto,Atualização do projeto
entry_property,属性,Property,屬性,Eigenschaft,Propriété,Propiedad,Свойство,คุณสมบัติ,속성,خاصية,Proprietà,Propriedade
entry_random,随机,Random,隨機,Zufällig,Aléatoire,Aleatorio,Случайный,สุ่ม,랜덤,عشوائي,Casuale,Aleatório
entry_rearhair,后发,Rear hair,後髮,Hinteres Haar,Cheveux arrière,Pelo trasero,Задние волосы,ผมด้านหลัง,뒷머리,شعر الخلف,Capelli posteriori,Cabelo traseiro
entry_resource_bar0,图像,Images,画像,Bilder,Images,Imágenes,Изображения,รูปภาพ,이미지,الصور,Immagini,Imagens
entry_resource_bar1,背景,Background,背景圖,Hintergrund,Arrière-plan,Fondo,Фон,พื้นหลัง,배경,خلفية,Sfondo,Fundo
entry_resource_bar2,精灵,Sprites,精靈,Sprites,Sprites,Sprites,Спрайты,สไปรท์,스프라이트,الشخصيات,Sprites,Sprites
entry_resource_bar3,图标,Icon,アイコン,Symbol,Icône,Icono,Значок,ไอคอน,아이콘,رمز,Icona,Ícone
entry_resource_bar4,音乐,Music,音樂,Musik,Musique,Música,Музыка,เสียงเพลง,음악,موسيقى,Musica,Música
entry_resource_bar5,音效,Sound Effect,効果音,Soundeffekt,Effet sonore,Efecto de sonido,Звуковой эффект,เอฟเฟกต์เสียง,사운드 효과,تأثير صوتي,Effetto sonoro,Efeito de som
entry_resource_bar6,配音,Dubbing,ダビング,Synchronisation,Doublage,Doblaje,Озвучивание,การพากย์เสียง,더빙,تزويد الصوت,Doppiaggio,Dublagem
entry_resource_bar7,视频,Video,ビデオ,Video,Vidéo,Video,Видео,วิดีโอ,비디오,فيديو,Video,Vídeo
entry_resource_canvas_position,图像位置,Image Position,圖像位置,Bildposition,Position de l'image,Posición de la imagen,Положение изображения,ตำแหน่งรูปภาพ,이미지 위치,مكان الصورة,Posizione dell'immagine,Posição da imagem
entry_resource_copy,副本,copy,コピー,Kopie,Copie,Copia,Копия,สำเนา,복사,نسخة,Copia,Cópia
entry_resource_group_none,未分组,None,未分類,Nicht gruppiert,Non groupé,Sin grupo,Не группировано,ไม่มีกลุ่ม,그룹 없음,غير مجمع,Non raggruppato,Não Agrupado
entry_resource_tree,资源树,Resource Tree,リソースツリー,Ressourcenbaum,Arbre de ressources,Árbol de recursos,Дерево ресурсов,ต้นไม้ทรัพยากร,자원 트리,شجرة الموارد,Albero delle risorse,Árvore de Recursos
entry_rhand,右手,Right Hand,右手,Rechte Hand,Main droite,Mano derecha,Правая рука,มือขวา,오른손,اليد اليمنى,Mano destra,Mão direita
entry_select,选取,Select,選取,Auswählen,Sélectionner,Seleccionar,Выбрать,เลือก,선택,اختيار,Selezionare,Selecionar
entry_selfmask,自身判定,Self Mask,自身判定,Selbstmaske,Masque personnel,Máscara personal,Самомаскировка,การปิดบังตัวเอง,자체 마스크,قناع الذات,Maschera personale,Máscara pessoal
entry_selfmask_0,不变更,No Change,不變更,Keine Änderung,Pas de changement,Sin cambios,Без изменений,ไม่เปลี่ยนแปลง,변경 없음,بلا تغيير,Nessuna modifica,Sem alterações
entry_selfmask_1,全身,Full Body,全身,Ganzer Körper,Corps entier,Cuerpo completo,Полное тело,ตัวเต็ม,전신,الجسم كاملاً,Corpo intero,Corpo Inteiro
entry_selfmask_2,半蹲,Squart,半蹲,Kniebeuge,Squat,Sentadilla,Полусогнутая поза,ซอควอต,스쿼트,استيقظ,Squat,Agachamento
entry_selfmask_3,半躺,Half Laying,半躺,Halb liegend,Demi-allongé,Semi tumbado,Полулежа,นอนครึ่งตัว,반 누움,نصف الاستلقاء,Semi sdraiato,Meio Deitado
entry_selfmask_4,平躺,Laying,平躺,Liegen,Allongé,Acostado,Лежать,นอน,누워있는,مستلق,Sdraiato,Deitado
entry_selfmask_5,浮空,Floated,浮空,Schweben,Flottant,Flotante,Плавание,ลอย,떠다니는,طافي,Galleggiante,Flutuando
entry_selfmask_6,侧身,Narrow,側身,Schmal,Étroit,Estrecho,Узкий,แคบ,좁다,ضيق,Stretto,Estreito
entry_selfmask_7,核心,Core,核心,Kern,Noyau,Núcleo,Ядро,เนื้อหา,코어,النواة,Nucleo,Núcleo
entry_selfmask_8,无敌,Invincible,無敵,Unbesiegbar,Invincible,Invencible,Неуязвимый,ไม่มีคู่ต่อสู้,무적,لا يُقهر,Invincibile,Invencível
entry_set,(已设定),(Set),(已設定),(Setzen),(Défini),(Establecido),(Установлено),(ตั้งค่าแล้ว),(설정되었음),(تم الضبط),(Impostato),(Definido)
entry_settings_special,特效设置,Special effect settings,特殊効果,Spezialeffekteinstellungen,Paramètres d'effets spéciaux,Configuración de efectos especiales,Настройки спецэффектов,การตั้งค่าเอฟเฟกต์พิเศษ,특수 효과 설정,إعدادات التأثيرات الخاصة,Impostazioni effetti speciali,Configurações de efeitos especiais
entry_shin,小腿,Shin,ふくらはぎ,Schienbein,Tibia,Tibia,Голень,ขาก้นหนีบ,족골,ساق,Tibia,Tíbia
entry_shoe,鞋,Shoes,靴,Schuhe,Chaussures,Zapatos,Обувь,รองเท้า,신발,أحذية,Scarpe,Sapatos
entry_shop_attribute_value,变动值,Value,値を変更する,Wert,Valeur,Valor,Значение,ค่า,값,القيمة,Valore,Valor
entry_shop_attribute1,属性一,Attribute 1,屬性1,Attribut 1,Attribut 1,Atributo 1,Атрибут 1,แอตทริบิวต์ 1,속성 1,السمة 1,Attributo 1,Atributo 1
entry_shop_attribute2,属性二,Attribute 2,屬性2,Attribut 2,Attribut 2,Atributo 2,Атрибут 2,แอตทริบิวต์ 2,속성 2,السمة 2,Attributo 2,Atributo 2
entry_shop_attribute3,属性三,Attribute 3,屬性3,Attribut 3,Attribut 3,Atributo 3,Атрибут 3,แอตทริบิวต์ 3,속성 3,السمة 3,Attributo 3,Atributo 3
entry_shop_content,物品数量,Content,物の数,Inhalt,Contenu,Contenido,Содержание,เนื้อหา,내용,المحتوى,Contenuto,Conteúdo
entry_shop_description,道具简介,Description,道具の紹介,Beschreibung,Description,Descripción,Описание,คำอธิบาย,설명,الوصف,Descrizione,Descrição
entry_shop_edit,商店编辑,Shop Edit,ストアエディター,Shop bearbeiten,Éditer la boutique,Editar tienda,Редактировать магазин,แก้ไขร้านค้า,상점 편집,تحرير المتجر,Modifica negozio,Editar Loja
entry_shop_id,商店编号,ID,店番号,Shop-ID,ID de boutique,ID de tienda,Идентификатор магазина,รหัสร้านค้า,상점 ID,هوية المتجر,ID negozio,ID da Loja
entry_shop_itemid,道具编号,Item ID,道具番号,Gegenstand-ID,ID d'objet,ID de objeto,Идентификатор предмета,รหัสไอเทม,아이템 ID,معرف العنصر,ID oggetto,ID do Item
entry_shop_itemname,道具名称,Name,道具名,Name,Nom,Nombre,Имя,ชื่อ,이름,الاسم,Nome,Nome
entry_shop_name,店名,Shop Name,店名,Ladenname,Nom du magasin,Nombre de la tienda,Название магазина,ชื่อร้านค้า,상점 이름,اسم المتجر,Nome del negozio,Nome da Loja
entry_shop_owner,店主名,Owner Name,店主名,Besitzername,Nom du propriétaire,Nombre del propietario,Имя владельца,ชื่อเจ้าของ,소유자 이름,اسم المالك,Nome del proprietario,Nome do Proprietário
entry_shop_price,买价,Purchase Price,入札価格,Kaufpreis,Prix d'achat,Precio de compra,Цена покупки,ราคาซื้อ,구매 가격,سعر الشراء,Prezzo d'acquisto,Preço de compra
entry_shop_quantity,数量,Quantity,量,Menge,Quantité,Cantidad,Количество,จำนวน,수량,الكمية,Quantità,Quantidade
entry_shop_select,选择商品,Select Item,製品を選択,Artikel auswählen,Sélectionner un article,Seleccionar artículo,Выбрать товар,เลือกสินค้า,상품 선택,تحديد العنصر,Seleziona articolo,Selecionar Item
entry_shop_sell,卖价,Sell Price,販売価格,Verkaufspreis,Prix de vente,Precio de venta,Цена продажи,ราคาขาย,판매 가격,سعر البيع,Prezzo di vendita,Preço de venda
entry_shop_stock,库存,Stock,在庫あり,Bestand,Inventaire,Existencias,Остаток,สต็อก,재고,المخزون,Stock,Estoque
entry_showbackground,显示/隐藏背景(H),Background(H),背景の表示/非表示(H),Hintergrund anzeigen/ausblenden(H),Afficher/Masquer l'arrière-plan(H),Mostrar/Ocultar fondo(H),Показать/скрыть фон(H),แสดง/ซ่อนพื้นหลัง(H),배경 표시/숨기기(H),عرض/إخفاء الخلفية(H),Mostra/Nascondi sfondo(H),Exibir/Ocultar Fundo(H)
entry_showgrid,显示网格(G),Show Grid(G),グリッドを表示(G),Gitter anzeigen(G),Afficher la grille(G),Mostrar la cuadrícula(G),Показать сетку(G),แสดงกริด(G),그리드 표시(G),عرض الشبكة(G),Mostra griglia(G),Mostrar Grade(G)
