LANGUAGE,简体中文,ENGLISH,日本語,Deutsch,Français,Español,Русский язык,ภาษาไทย,한국어,اللغة العربية,Italiano,português
MENUCUREQUIP,当前装备,EQUIPPED,現在の装備,EQUIPPED,ÉQUIPÉ,ACTUALMENTE EQUIPADO,ОБОРУДОВАНО,เครื่องมือปัจจุบัน,현재 장착,المعدات الحالية,ATTREZZATURA ATTUALE,EQUIPADO ATUALMENTE
MENUDESTROY,销毁,DESTROY,破壊する,DESTROY,DÉTRUIRE,DESTRUIR,УНИЧТОЖИТЬ,ทำลาย,파괴,تدمير,ISTRUGGI,DESTRUIR
MENUEQUIP,装备,EQUIPMENTS,装備,EQUIPMENTS,ÉQUIPEMENTS,EQUIPAMIENTO,ОБОРУДОВАНИЕ,อุปกรณ์,장비 아이템,التجهيزات,ATTREZZATURA,ITENS DE EQUIPAMENTO
MENUEXIT,离开,EXIT,やめる,EXIT,QUITTER,SALIR,ВЫХОД,ออก,나가기,خروج,ESCI,SAIR
MENUINSERTCOIN,请投入硬币,PRESS INSERT COIN(S),コインを入れてください,PRESS INSERT COIN(S),INSÉRER DES PIÈCES,INSERTE MONEDA(S),ВСТАВЬТЕ МОНЕТУ(Ы),สะสมเหรียญ,동전을 넣으세요,أدخل عملة,INSERISCI MONETA/E,INSIRA A(S) MOEDA(S)
MENUINVENTORY,物品,ITEMS,もの,ITEMS,INVENTAIRE,INVENTARIO,ИНВЕНТАРЬ,ไอเทม,아이템,العناصر,INVENTARIO,ITENS
MENUITEMINFO,物品信息,ITEM INFO,アイテム情報,ITEM INFO,INFORMATIONS SUR L'OBJET,INFORMACIÓN DEL ÍTEM,ИНФОРМАЦИЯ О ПРЕДМЕТЕ,ข้อมูลไอเทม,아이템 정보,معلومات العنصر,INFORMAZIONI SULL'OGGETTO,INFORMAÇÕES DO ITEM
MENUITEMTOTAL,物品数量,TOTAL,物の数,TOTAL,TOTAL DES OBJETS,TOTAL DE ÍTEMS,ОБЩЕЕ КОЛИЧЕСТВО ПРЕДМЕТОВ,รวมทั้งหมด,아이템 총수,المجموع الكلي للعناصر,TOTALE,Total de Itens
MENULASTSAVE,从最近一次存档开始,CONTINUE FROM LAST SAVE,最新の保存から開始,CONTINUE FROM LAST SAVE,CONTINUER À PARTIR DE LA DERNIÈRE SAUVEGARDE,CONTINUAR DESDE EL ÚLTIMO GUARDADO,ПРОДОЛЖИТЬ С ПОСЛЕДНЕГО СОХРАНЕНИЯ,ดำเนินการต่อจากการบันทึกครั้งล่าสุด,최근 저장한 내용에서 시작,متابعة من آخر حفظ,CONTINUA DALL'ULTIMO SALVATAGGIO,CONTINUAR DO ÚLTIMO SALVAMENTO
MENULOAD,读取,LOAD,読む,LOAD,CHARGER,CARGAR,ЗАГРУЗИТЬ,โหลด,불러오기,تحميل,CARICA,CARREGAR
MENUMAIN,主菜单,MAIN MENU,メインメニュー,MAIN MENU,MENU PRINCIPAL,MENÚ PRINCIPAL,ГЛАВНОЕ МЕНЮ,เมนูหลัก,메인 메뉴,القائمة الرئيسية,MENU PRINCIPALE,MENU PRINCIPAL
MENUMAP,地图,MAP,地図,MAP,CARTE,CARTE,КАРТА,แผนที่,지도,خريطة,MAPPA,MAPA
MENUNEW,新游戏,NEW GAME,新しいゲーム,NEW GAME,NOUVELLE PARTIE,NUEVO JUEGO,НОВАЯ ИГРА,เริ่มเกมใหม่,새 게임,بدء لعبة جديدة,NUOVA PARTITA,NOVO JOGO
MENUNOTEQUIPPED,未装备,NOT EQUIPPED,未装備,NICHT AUSGERÜSTET,NON ÉQUIPÉ,PENDIENTE DE EQUIPAR,НЕ ОБОРУДОВАНО,ยังไม่ได้ใส่,아직 장착되지 않음,غير مجهز,NON EQUIPAGGIATO,NÃO EQUIPADO
MENUPAGE,页,PAGE,ページ,PAGE,PAGE,PÁGINA,СТРАНИЦА,หน้า,페이지,صفحة,PAGINA,PÁGINA
MENUPAGESWITCH,翻页,SWITCH PAGES,ページをめくる,SWITCH PAGES,CHANGER DE PAGE, CAMBIAR DE PÁGINA,ПЕРЕКЛЮЧЕНИЕ СТРАНИЦ,สลับหน้า,페이지 전환,تبديل الصفحات,PASSAGGIO PAGINA,CAMINHO DA PÁGINA
MENUQUEST,任务,QUESTS,タスク,QUESTS,QUÊTES,MISIONES,ЗАДАНИЯ,เควส,퀘스트,مهام,MISSIONI,MISSÕES
MENUQUESTBOARD,任务发布,QUESTBOARD,タスクのリリース,QUESTBOARD,PLANCHE DES QUÊTES,PANEL DE MISIONES,ДОСКА ЗАДАНИЙ,กระดานภารกิจ,퀘스트 게시판,لوحة المهام,SEGNAPASSI,BANCO DE MISSÕES
MENUQUESTTOTAL,任务数量,TOTAL,タスクの数,TOTAL,TOTAL DES QUÊTES,TOTAL DE MISIONES,ВСЕГО ЗАДАНИЙ,รวมทั้งหมด,모든 퀘스트,إجمالي المهام,TOTALE MISSIONI,TOTAL DE MISSÕES
MENUQUIT,退出,QUIT,やめる,QUIT,QUITTER,SALIR,ВЫХОД,ออก,끝내기,خروج,USCITA,SAIR
MENURESTART,重新开始,RESTART,再起動,RESTART,RECOMMENCER,REINICIAR,НАЧАТЬ СНАЧАЛА,เริ่มใหม่,다시 시작,إعادة التشغيل,RIAVVIA,REINICIAR
MENURESUME,返回,RESUME,戻る,RESUME,REPRENDRE,RESUMIR,ПРОДОЛЖИТЬ,กลับ,재개,استئناف,RIPRENDI,RETOMAR
MENURETURN,返回,RETURN,戻る,RETURN,RETOUR,REGRESAR,ВЕРНУТЬСЯ,กลับ,돌아가기,العودة,RESTITUISCI,RETORNAR
MENUSAVE,保存,SAVE,保存,SAVE,ENREGISTRER,GUARDAR,СОХРАНИТЬ,บันทึก,저장,حفظ,SALVA,SALVAR
MENUSELL,出售,SELL,販売,VERKAUF,VENDRE,VENDER,продавать,ขาย,판매,بيع,VENDERE,VENDER
MENUSETTING,系统设置,SETTINGS,システム設定,SYSTEMEINSTELLUNGEN,RÉGLAGES DU SYSTÈME,CONFIGURACIÓN DEL SISTEMA,настройки системы,การตั้งค่าระบบ,시스템 설정,إعدادات النظام,IMPOSTAZIONI DEL MENU,CONFIGURAÇÕES DO MENU
MENUSHOP,商店,SHOP,ショップ,GESCHÄFT,MAGASIN,TIENDA,магазин,ร้านค้า,가게,متجر,NEGOZIO,LOJA
MENUSKILL,技能,SKILLS,スキル,FÄHIGKEITEN,COMPÉTENCES,HABILIDADES,навыки,ทักษะ,기술,مهارات,ABILITÀ,COMPETÊNCIAS
MENUSKILLTOTAL,技能数量,TOTAL,スキル総数,GESAMTZAHL DER FÄHIGKEITEN,NOMBRE TOTAL DE COMPÉTENCES,TOTAL DE HABILIDADES,общее количество навыков,จำนวนทักษะทั้งหมด,기술 총수,إجمالي المهارات,TOTALE DELLE ABILITÀ,TOTAL DE COMPETÊNCIAS
MENUSTATUS,状态,STATUS,ステータス,STATUS,STATUT,ESTADO,статус,สถานะ,상태,الحالة,STATO,ESTADO
MENUSTATUSADVANCED,进阶属性,ADVANCED STATUS,高度なステータス,ERWEITERTE STATUS,STATUT AVANCÉ,ESTADO AVANZADO,расширенный статус,สถานะขั้นสูง,고급 상태,الحالة المتقدمة,STATO AVANZATO,ESTADO AVANÇADO
MENUSTATUSBASIC,基础属性,BASIC STATUS,基本ステータス,BASISSTATUS,STATUT DE BASE,ESTADO BÁSICO,основной статус,สถานะพื้นฐาน,기본 상태,الحالة الأساسية,STATO DI BASE,ESTADO BÁSICO
MENUSTATUSDETAIL,详细属性,DETAILED STATUS,詳細ステータス,DETAILLIERTE STATUS,AUTRES DÉTAILS,ESTADO DETALLADO,детализированный статус,สถานะละเอียด,자세한 상태,الحالة المفصلة,STATO DETTAGLIATO,ESTADO DETALHADO
MENUSWITCHCHARACTER,选择角色,CHARACTER,キャラクター選択,CHARAKTERAUSWAHL,CHOIX DU PERSONNAGE,SELECCIONAR PERSONAJE,выбор персонажа,เลือกตัวละคร,캐릭터 선택,اختيار الشخصية,SELEZIONA PERSONAGGIO,SELECIONAR PERSONAGEM
MENUSYSTEM,系统,SYSTEM,システム,SYSTEM,SYSTÈME,SISTEMA,система,ระบบ,시스템,النظام,SYSTEM,SISTEMA
MENUUNEQUIP,解除装备,UNEQUIP,装備解除,ABRÜSTEN,DÉSÉQUIPER,DESEQUIPAR,снять снаряжение,ถอดอุปกรณ์,장착 해제,إلغاء التجهيز,DISARMARE,DESARMAR
MENUUSE,使用,USE,使用,VERWENDEN,UTILISER,USAR,использовать,ใช้,사용,استخدام,UTILIZZARE,USAR
MESSAGEARCADECONTINUE,继续游戏,CONTINUE,ゲームを続ける,WEITER SPIELEN,CONTINUER LE JEU,CONTINUAR EL JUEGO,продолжить игру,ดำเนินการเล่นต่อ,게임 계속하기,متابعة اللعبة,CONTINUA IL GIOCO,CONTINUAR O JOGO
MESSAGEARCADECREDITS,机会数,CREDITS,クレジット数,ANZAHL DER MÜNZEN,NOMBRE DE CRÉDITS,NÚMERO DE CRÉDITOS,количество кредитов,จำนวนเหรียญ,크레딧 수,عدد النقاط,NUMERO DI CREDITI,NÚMERO DE CRÉDITOS
MESSAGEARCADEJOIN,按键加入游戏,PRESS BUTTON TO JOIN,ゲームに参加するにはボタンを押してください,SPIEL BEITRETEN: TASTE DRÜCKEN,APPUYEZ SUR LE BOUTON POUR REJOINDRE,PRESONE EL BOTÓN PARA UNIRSE,нажмите кнопку, чтобы присоединиться,กดปุ่มเพื่อเข้าร่วม,참여하려면 버튼을 누르세요,اضغط على الزر للانضمام,PREMERE IL PULSANTE PER UNIRSI,PRESSIONE O BOTÃO PARA PARTICIPAR
MESSAGEARCADELIVES,生命,LIFE,ライフ,LEBEN,VIES,VIDAS,жизни,ชีวิต,목숨,حياة,VITE,VIDAS
MESSAGEDEFEATED,战败,DEFEATED,敗北,DEFEAT,DÉFAIT,DERROTADO,поражение,พ่ายแพ้,패배,هزيمة,SCONFITTO,DERROTADO
MESSAGEDOORLOCKED,门从里面锁上了..,Door was locked from inside...,ドアは内側から施錠されています...,Die Tür wurde von innen verschlossen...,La porte était verrouillée de l'intérieur...,La puerta estaba cerrada desde adentro...,Дверь заперта изнутри...,ประตูถูกล็อกจากด้านใน...,문이 안에서 잠겨 있습니다...,الباب مغلق من الداخل...,La porta è stata chiusa dall'interno...,A porta estava trancada por dentro...
MESSAGEDRIVE,驾驶,DRIVE,運転,FAHREN,CONDUITE,CONDUCCIÓN,вождение,การขับขี่,운전,القيادة,GUIDARE,DIRIGIR
MESSAGEFIGHTBEGIN,战斗开始,FIGHT BEGIN,戦闘開始,KAEMPFEN BEGINNEN,COMBAT COMMENCE,COMIENZA LA BATALLA,начало битвы,เริ่มการต่อสู้,전투 시작,بدء القتال,INIZIO DELLA LOTTA,COMEÇO DA LUTA
MESSAGEFIGHTEND,战斗结束,FIGHT END,戦闘終了,KAEMPFEN ENDE,FIN DU COMBAT,FIN DE LA BATALLA,конец битвы,จบการต่อสู้,전투 종료,نهاية القتال,FINE DELLA LOTTA,FIM DA LUTA
MESSAGEGAMEOVER,你的队伍全灭了,Your team is eliminated,ゲームオーバー,Dein Team wurde eliminiert,VOTRE ÉQUIPE A ÉTÉ ÉLIMINÉE,TU EQUIPO HA SIDO ELIMINADO,ваша команда уничтожена,ทีมของคุณถูกกำจัด,당신의 팀이 처치되었습니다,فريقك تم القضاء عليه,GIOCO FINITO,SEU TIME FOI ELIMINADO
MESSAGEHOLDSKIP,按住跳过,HOLD TO SKIP,スキップするには押し続けてください,DRÜCKEN UND HALTEN,MAINTENEZ POUR SAUTER,MANTENER PARA SALTAR,удерживайте, чтобы пропустить,กดค้างเพื่อข้าม,길게 누르고 스킵,استمر في الضغط للتخطي,TIENI PREMUTO PER SALTA,MANTENHA PARA SALTAR
MESSAGEINN,是否休息,Do you want to take a rest,宿屋で休みますか？,Möchten Sie sich ausruhen?,Voulez-vous vous reposer?,¿Quieres descansar?,Хотите отдохнуть?,คุณต้องการพักหรือไม่?,휴식을 취하시겠습니까?,هل ترغب في الاستراحة؟,Vuoi riposarti?,Você quer descansar?
MESSAGEINNBROKE,没有足够的钱,You don't have enough money,お金が足りません,Du hast nicht genug Geld,Vous n'avez pas assez d'argent,No tienes suficiente dinero,У вас недостаточно денег,คุณมีเงินไม่เพียงพอ,돈이 부족합니다,ليس لديك ما يكفي من المال,Non hai abbastanza soldi,Você não tem dinheiro suficiente
MESSAGEINNCANCEL,算了,Leave,やっぱりやめます,Verlassen,Annuler,Salir,Покинуть,ลาออก,떠나기,اترك,Abbandona,Sair
MESSAGEINNPAY,支付, Pay,支払う,Bezahlen,Payer,Pagar,оплатить,ชำระเงิน,지불,ادفع, Pagare,Pagar
MESSAGEINNREST,休息, Rest,休憩,Erholung,Repos,Descanso,отдых,พัก,휴식,استراحة,Riposo,Descanso
MESSAGEITEMGOT,获得物品, Got item,アイテムを入手しました,Gegenstand erhalten,Objet obtenu,Obtuviste un objeto,получено предмет,ได้รับไอเท็ม,아이템 획득,حصلت على العنصر,È stato ottenuto un oggetto,Item obtido
MESSAGEITEMREQUIRE,缺少物品无法打开,Item required to unlock,アンロックするにはアイテムが必要です,Item erforderlich zum Entsperren,Objet requis pour déverrouiller,Se requiere un objeto para desbloquear,необходим предмет для разблокировки,ต้องการไอเท็มเพื่อปลดล็อค,잠금 해제에 필요한 아이템,العنصر مطلوب للفتح,È necessario un oggetto per sbloccare,Liberar requer um item
MESSAGELOCKLEAVE,放弃,LEAVE,放棄,VERLASSEN,ABANDONNER,SALIR,покинуть,ออก,나가기,مغادرة,ABBIANDONARE,SAIR
MESSAGELOCKOPEN,开锁,OPEN,開錠,ÖFFNEN,DÉVERROUILLER,ABRIR,открыть,เปิด,열기,فتح,APRI,ABRIR
MESSAGELOCKREQUIRE,开锁需要,Requirement,開錠には要件があります,Öffnung erfordert,Besoin d'un déverrouillage,Requisito para abrir,для открытия требуется,การเปิดต้องการ,열리려면 조건이 필요합니다,يتطلب الفتح,Requisito per aprire,Requisito para abrir
MESSAGEOVERWEIGHT,你已经无法拿起更多的东西(超重),YOU CANNOT CARRY MORE ITEMS(OVERWEIGHT),アイテムをもう持てません(重量オーバー),SIE KÖNNEN KEINE WEITEREN GEGENSTÄNDE TRAGEN (ÜBERGEWICHT),VOUS NE POUVEZ PAS TRANSPORTER PLUS D'OBJETS (SURCHARGE),NO PUEDES LLEVAR MÁS OBJETOS (SOBREPESO),невозможно нести больше предметов (перегрузка),คุณไม่สามารถพกของเพิ่มเติมได้อีก (น้ำหนักเกิน),더 이상 아이템을 들 수 없습니다 (무게 초과),لا يمكنك حمل المزيد من العناصر (زيادة الوزن),NON PUOI PORTARE ALTRI OGGETTI (SOVRAPPESO),VOCÊ NÃO PODE CARREGAR MAIS ITENS (SOBREPESO)
MESSAGEREST,休息,REST,休憩,PAUSE,RÉPIT,DESCANSO,отдых,พัก,휴식,راحة,RIPOSO,DESCANSO
MESSAGETEAMCANCEL,放弃, Cancel,キャンセル,Abbrechen,Annuler,Cancelar,отменить,ยกเลิก,취소,إلغاء,Annulla,Cancelar
MESSAGETEAMCHANGE,变更,CHANGE,変更,ÄNDERN,CHANGER,CAMBIAR,изменить,เปลี่ยน,변경,تغيير,CAMBIAMENTO,MUDANÇA
MESSAGETEAMCHANGEPLAYER,变更角色为,Change Character to,キャラクターを変更,Charakter ändern,Changer de personnage à,Cambiar personaje a,сменить персонажа на,เปลี่ยนตัวละครเป็น,캐릭터를 변경하세요,تغيير الشخصية إلى,Cambia personaggio in,Mudar personagem para
MESSAGETEAMJOIN,是否邀请加入队伍, is joining team,チームに参加しますか？,tritt dem Team bei,va rejoindre l'équipe,se está uniendo al equipo,присоединяется к команде,เข้าร่วมทีม,팀에 가입하시겠습니까?,هل ترغب في الانضمام إلى الفريق؟,sta unendosi alla squadra,está se juntando à equipe
MESSAGETEAMJOINED,加入队伍, has joined team,チームに加入しました,hat sich dem Team angeschlossen,a rejoint l'équipe,se ha unido al equipo,присоединился к команде,เข้าร่วมทีม,팀에 가입했습니다,انضم إلى الفريق,si è unito alla squadra,se juntou à equipe
MESSAGETEAMNO,不加入, No,加入しない,Nein,Non,Otro,No,не присоединяться,ไม่เข้าร่วม,가입하지 않음,لا,Non, Não
MESSAGETEAMREPLACE,代替谁加入队伍, is replacing a team member,誰かの代わりにチームに参加しますか？,ersetzt ein Teammitglied,remplace un membre de l'équipe,está reemplazando a un miembro del equipo,заменяет одного из участников команды,จะแทนที่สมาชิกของทีมคนหนึ่ง,누군가의 대신 팀에 가입하시겠습니까?,هل سيحل محل أحد أفراد الفريق؟,sta sostituendo un membro della squadra,está substituindo um membro da equipe
MESSAGETEAMYES,加入, Yes,はい,Ja,Oui,Sí,да,ใช่,예,نعم,Sì,Sim
MESSAGETURN,回合,TURN,ターン,UMDREHEN,TOUR,GIRO,ход,ตา,차례,دورo,GIRA,TURNO
MESSAGEVICTORY,胜利,VICTORY,勝利,Sieg,VICTOIRE,VICTORIA,победа,ชัยชนะ,승리,النصر,VITTORIA,VITÓRIA
MONEY,金钱,MONEY,お金,Geld,Argent,Dinero,Деньги,เงิน,돈,المال,Denaro,Dinheiro
MORAL,道德,MORAL,モラル,Moral,Moral,Moral,нравственный,ศีลธรรม,도덕적,أخلاقي,Etico,Moral
MOVELIST,输入指令,COMMAND,コマンドを入力してください,Befehl,Entrer la commande,Ingresar comando,введите команду,ป้อนคำสั่ง,명령을 입력하세요,أدخل الأمر,Inserisci il comando,Insira o comando
MP,法力,Mana,マナ,Mana,Mana,Maná,Мана,แมนา,마나,مانا,Mana,Mana
MPMAX,最大法力,Maximum Mana,最大マナ,Maximales Mana,Mana maximum,Mana máximo,Максимальная мана,จำนวนมากสุดของมานา,최대 마나,الحد الأقصى للمانا,Mana massima,Mana máximo
NEXTPAGE,下页,NEXT,次のページ,NÄCHSTE SEITE,PAGE SUIVANTE,PÁGINA SIGUIENTE,следующая страница,หน้าถัดไป,다음 페이지,الصفحة التالية,PROSSIMA PAGINA,PÁGINA SEGUINTE
NOCD,无冷却,NO COOLDOWN,クールダウンなし,KEINE ABKÜHLUNG,PAS DE TEMPS DE RECHARGE,SIN ENFRIAMIENTO,нет перезарядки,ไม่มีการรอเวลา,쿨다운 없음,لا توجد فترة تبريد,NESSUNO STOP,SEM TEMPO DE RECARGA
NOITEM,无物品,NO ITEM,アイテムなし,KEIN GEGENSTAND,AUCUN OBJET,NO HAY OBJETO,нет предмета,ไม่มีไอเทม,아이템 없음,لا يوجد عنصر,NESSUN OGGETTO,SEM ITEM
NONE,无,N/A,なし,KEINE,AUCUN,N/D,нет,ไม่มี,NONE,NONE,لا شيء,NONE,NONE
NOQUEST,无任务,NO QUEST,クエストなし,KEINE QUEST,AUCUNE QUÊTE,NO HAY MISIÓN,нет задания,ไม่มีเควส,퀘스트 없음,لا توجد مهمة,NESSUNA MISSONE,SEM MISSÃO
OTHER,其他,OTHER,その他,ANDERES,AUTRE,OTRO,другой,อื่น ๆ,기타,آخر,ALTRO,OUTRO
OUTOFMONEY,无法支付,NOT ENOUGH MONEY,お金が足りません,Nicht genug Geld,Pas assez d'argent,No hay suficiente dinero,недостаточно денег,เงินไม่พอ,돈이 부족합니다,المال غير كافٍ,Denaro non sufficiente,Dinheiro insuficiente
OVERWEIGHT,超重,OVERWEIGHT,オーバーウェイト,Überladen,Excès de poids,Sobrepeso,избыточный вес,น้ำหนักเกิน,비만,زيادة الوزن,Sovrappeso,Sobrepeso
PASSIVE1,被动技能 1,PASSIVE 1,パッシブ1,Passiv 1,Passif 1,Pasivo 1,Пассивный 1,ท่านถูกควบคุมด้วยบทบาทที่ 1,패시브 1,المرحلة السلبية 1,Passiva 1,Passivo 1
PASSIVE2,被动技能 2,PASSIVE 2,パッシブ2,Passiv 2,Passif 2,Pasivo 2,Пассивный 2,ท่านถูกควบคุมด้วยบทบาทที่ 2,패시브 2,المرحلة السلبية 2,Passiva 2,Passivo 2
PASSIVE3,被动技能 3,PASSIVE 3,パッシブ3,Passiv 3,Passif 3,Pasivo 3,Пассивный 3,ท่านถูกควบคุมด้วยบทบาทที่ 3,패시브 3,المرحلة السلبية 3,Passiva 3,Passivo 3
PLATINUM,白金,PLATINUM,プラチナ,Platin,Platine,Platino,Платина,แพลทินัม,플래티넘,بلاتينوم,Platino,Platina
PLAYER,玩家,PLAYER,プレイヤー,Spieler,Joueur,Jugador,игрок,ผู้เล่น,플레이어,اللاعب,Giocatore,Jogador
PP0,生命,HP,HP,ヒットポイント,Lebenspunkte,Points de vie,Puntos de vida,точки здоровья,แต้มชีวิต,생명력,نقاط الصحة,Punti vita,Pontos de vida
PP1,体力,STAMINA,スタミナ,AUSDAUER,Endurance,Resistencia,выносливость,สตามิน่า,스태미너,قوة العضلات,Stamina,Estamina
PP10,兵刃,WEAPON,武器,WAFFE,ARME,ARMA,оружие,อาวุธ,무기,سلاح,Arma,Arma
PP11,隐匿,STEALTH,ステルス,SCHLEICHEN,Furtivité,Sigilo,незаметность,Stealth,은신,التسلل,Furtività,Furtividade
PP12,运气,LUCK,運,Glück,Chance,Suerte,удача,โชค,운,حظ,Fortuna,Sorte
PP2,法力,MP,マジックポイント,Mana,Mp,Puntos de magia,очки маны,แต้มแมจิก,마나 포인트,نقاط السحر,Mana,Pontos de Magia
PP3,必杀技,ULTIMATE,アルティメット,Ultimate,Suprême,Definitivo,ульти,อูลติเมต,얼티밋,النهائي,Ultimate,Definitivo
PP4,力量,STRENGTH,力,Stärke,Force,Fuerza,сила,ความแข็งแกร่ง,힘,القوة,Forza,Força
PP5,敏捷,AGILITY,アジリティ,Geschicklichkeit,Agilité,Agilidad,ловкость,ความคล่องแคล่ว,민첩성,الرشاقة,Agilità,Agilidade
PP6,智力,INTELLIGENCE,知性,Intelligenz,Intelligence,Inteligencia,интеллект,สติปัญญา,지능,ذكاء,Intelligenza,Inteligência
PP7,体魄,VITALITY,ビタリティ,Vitalität,Vitalité,Vitalidad,живучесть,วิตาลิตี,체력,قوة البدن,Vitalità,Vitalidade
PP8,耐力,ENDURANCE,耐久力,Ausdauer,Endurance,Resistencia,выносливость,ความอดทน,인내력,القدرة على التحمل,Resistenza,Resistência
PP9,意志,MIND,精神,Kopf,Esprit,Mente,ум,จิตใจ,마음,عقل,Mente,Mente
PR_ACTIONPOINT,行动点,AP,アクションポイント,AP,Point d'action,Puntos de acción,очки действия,คะแนนการกระทำ,행동 점수,نقاط العمل,Punto d'azione,Pontos de Ação
PR_AGI,敏捷,AGILITY,アジリティ,Geschicklichkeit,Agilité,Agilidad,ловкость,ความคล่องแคล่ว,민첩성,الرشاقة,Agilità,Agilidade
PR_AP,属性点,ATTRIBUTE POINTS,属性ポイント,Attributspunkte,Points d'attribut,Puntos de atributo,очки атрибутов,คะแนนแอตทริบิวต์,속성 포인트,نقاط السمات,Punti attributo,Pontos de Atributo
PR_AP_LEVEL,升级属性点,AP PER LEVEL,レベルごとの属性ポイント,AP pro Stufe,AP par niveau,AP por nivel,AP за уровень,AP ต่อระดับ,레벨당 AP,نقاط السمات لكل مستوى,Punti attributo per livello,Pontos de Atributo por Nível
PR_END,耐力,ENDURANCE,耐久力,Ausdauer,Endurance,Resistencia,выносливость,ความอดทน,인내력,القدرة على التحمل,Resistenza,Resistência
PR_INT,智力,INTELLIGENCE,知性,Intelligenz,Intelligence,Inteligencia,интеллект,สติปัญญา,지능,ذكاء,Intelligenza,Inteligência
PR_LCK,运气,LUCK,運,Glück,Chance,Suerte,удача,โชค,운,حظ,Fortuna,Sorte
PR_MND,意志,WILLPOWER,意志力,Willenskraft,Volonté,Voluntad,воля,ความมุ่งมั่น,의지력,قوة الإرادة,Forza di volontà,Força de Vontade
PR_SP,技能点,SKILL POINTS,スキルポイント,Skillpunkte,Points de compétence,Puntos de habilidad,очки навыков,คะแนนทักษะ,스킬 포인트,نقاط المهارة,Punti abilità,Pontos de Habilidade
PR_SP_LEVEL,升级技能点,SP PER LEVEL,レベルごとのスキルポイント,SP pro Stufe,SP par niveau,SP por nivel,SP за уровень,SP ต่อระดับ,레벨당 SP,نقاط المهارة لكل مستوى,Punti abilità per livello,Pontos de Habilidade por Nível
PR_STH,隐匿,STEALTH,ステルス,Schleichen,Furtivité,Sigilo,незаметность,Stealth,은신,التسلل,Furtività,Furtividade
PR_STR,力量,STRENGTH,力,Stärke,Force,Fuerza,сила,ความแข็งแกร่ง,힘,القوة,Forza,Força
PR_VIT,体魄,VITALITY,ビタリティ,Vitalität,Vitalité,Vitalidad,живучесть,วิตาลิตี,체력,قوة البدن,Vitalità,Vitalidade
PR_WPN,兵刃,WEAPON,武器,WAFFE,ARME,ARMA,оружие,อาวุธ,무기,سلاح,Arma,Arma
PR_ATTACK,物理伤害,Physical Damage,物理ダメージ,Physischer Schaden,Dommages Physiques,Daño físico,Физический урон,ความเสียหายทางกายภาพ,물리적 손상,الأضرار المادية,Danno fisico,Dano físico
PR_DEFENCE,物理抵抗,Physical Resistance,物理耐性,Physischer Widerstand,Résistance Physique,Resistencia física,Физическое сопротивление,ความต้านทานทางกายภาพ,물리적 저항,المقاومة الجسدية,Resistenza fisica,Resistência Física
PR_MAGIC,魔法伤害,Magic Damage,魔法ダメージ,Magischer Schaden,Dégâts Magiques,Daño mágico,Магический урон,ความเสียหายเวทย์มนตร์,마법 피해,الضرر السحري,Danno magico,Dano Mágico
PR_WEAPON,兵刃伤害,Weapon Damage,武器ダメージ,Waffenschaden,Dégâts des Armes,Daño del arma,Урон от оружия,ความเสียหายของอาวุธ,무기 피해,ضرر السلاح,Danni all'arma,Dano de Arma
PR_DODGE,闪避率,Dodge Rate,回避率,Ausweichrate,Taux d'esquive,Tasa de esquivar,Скорость уклонения,อัตราการหลบหลีก,회피율,معدل دودج,Tasso di schivata,Taxa de evasão
PR_MAGICRESIST,魔法抵抗,Magic Resistance,魔法耐性,Magieresistenz,La resistance magique,Resistencia mágica,Сопротивление магии,ต้านทานเวทย์มนตร์,마법 저항력,المقاومة السحرية,Resistenza magica,Resistência mágica
PR_CRITICAL,暴击几率,Critical Chance,クリティカルヒットの確率,Kritische Treffer Chance,Chance Critique,Oportunidad crítica,Критический шанс,โอกาสติดคริติคอล,치명타 확률,فرصة ضربة حاسمة,Possibilità critica,Chance crítica
PR_STEALTHRANGE,隐匿距离,Stealth Distance,隠れ距離,Stealth-Distanz,Distance furtive,Distancia sigilosa,Скрытность на расстоянии,ซ่อนระยะห่าง,숨어있는 거리,مسافة الاختباء,Distanza invisibile,Distância furtiva
PR_NERFTIME,负面效果抵抗,Debuff Resistance,マイナス効果に対する耐性,Debuff-Widerstand,Résistance aux affaiblissements,Resistencia al perjuicio,Сопротивление дебаффам,ความต้านทานต่อผลกระทบด้านลบ,부정적인 영향에 대한 저항,مقاومة التأثيرات السلبية,Resistenza ai depotenziamenti,Resistência a Debuffs
PR_STEALTHTIME,隐匿时长,Stealth Duration,隐ダム時間長,Stealth-Dauer,Durée de furtivité,Duración sigilosa,Продолжительность скрытности,ระยะเวลาการซ่อนตัว,스텔스 기간,مدة التخفي,Durata della modalità invisibile,Duração furtiva
PR_MAGICDODGE,魔法回避,Magic Avoidance,魔法回避,Magievermeidung,Évitement magique,Evitación mágica,Магическое уклонение,การหลีกเลี่ยงเวทย์มนตร์,마법 회피,تجنب السحر,Evitamento magico,Evitação Mágica
PROPERTY,属性,PROPERTY,プロパティ,Eigenschaft,Propriété,Propiedad,свойство,สมบัติ,속성,خاصية,Proprietà,Propriedade
QUESTCANNOTREPEAT,不可重复,UNREPEATABLE,リピート不可,NICHT WIEDERHOLBAR,Non répétable,No repetible,невозможно повторить,ไม่สามารถทำซ้ำได้,반복 불가능,غير قابل للتكرار,Non ripetibile,Não Repetível
